fighter,height_cm,reach_cm,weight_kg,stance,age,slpm,str_acc,sapm,str_def,td_avg,td_acc,td_def,sub_avg
Mayana Kellem,165.1,,61.2,Orthodox,45.2,1.94,0.22,2.9,0.62,0.0,0.0,0.0,0.0
Chris Kelades,170.2,172.7,56.7,Orthodox,45.6,2.4,0.43,2.64,0.48,1.04,0.18,0.53,0.3
John Kelly,175.3,,77.1,,48.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Waylon Kennell,182.9,,83.9,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jeremy Kennedy,180.3,180.3,65.8,Orthodox,34.0,2.22,0.46,2.58,0.47,5.73,0.52,0.66,0.0
Tony Kelley,175.3,177.8,61.2,Switch,39.7,4.57,0.47,4.77,0.43,0.0,0.0,0.5,2.0
Daniel Kelly,182.9,177.8,83.9,Southpaw,48.9,3.62,0.38,4.64,0.61,1.86,0.34,0.78,0.3
Paul Kelly,175.3,177.8,70.3,Orthodox,42.0,3.22,0.37,2.61,0.59,1.34,0.6,0.3,1.5
Steve Kennedy,180.3,,77.1,Orthodox,43.5,2.28,0.35,5.52,0.45,2.51,0.33,0.0,0.0
Tim Kennedy,180.3,188.0,83.9,Orthodox,47.1,2.78,0.47,1.84,0.62,2.58,0.35,0.7,0.7
Aurelijus Kerpe,,,,Orthodox,,1.26,0.16,8.21,0.31,0.0,0.0,0.0,0.0
Ron Keslar,,,83.9,,,0.0,0.0,2.05,0.6,0.0,0.0,1.0,7.7
Casey Kenney,170.2,172.7,63.5,Southpaw,35.5,4.81,0.42,4.3,0.59,1.1,0.39,0.59,0.5
Will Kerr,177.8,175.3,70.3,Orthodox,43.9,1.91,0.42,6.22,0.33,0.0,0.0,0.0,14.3
Sergey Khandozhko,185.4,188.0,77.1,Orthodox,34.3,2.83,0.42,1.7,0.6,0.5,0.16,0.64,0.0
Rustam Khabilov,172.7,185.4,70.3,Orthodox,39.9,1.98,0.34,2.16,0.65,3.95,0.41,0.61,0.1
Adam Khaliev,182.9,,77.1,Orthodox,42.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mark Kerr,190.5,,120.7,Switch,57.8,0.28,0.41,0.89,0.28,2.92,0.77,0.0,0.4
Sergei Kharitonov,182.9,,111.1,Orthodox,46.1,3.9,0.44,3.03,0.54,1.16,0.53,0.7,1.0
Alfred Khashakyan,172.7,177.8,61.2,Orthodox,38.2,6.14,0.42,6.38,0.4,3.54,0.25,0.0,0.0
Akira Kikuchi,172.7,,70.3,Orthodox,48.2,3.67,0.56,0.4,0.14,2.0,0.4,1.0,0.0
Sanae Kikuta,175.3,,90.7,Orthodox,55.0,0.7,0.45,0.9,0.52,1.6,0.63,0.25,1.8
Aliaskhab Khizriev,175.3,188.0,83.9,Southpaw,36.1,6.0,0.83,3.6,0.66,18.0,0.5,0.0,18.0
Katsunori Kikuno,172.7,167.6,65.8,Orthodox,44.9,2.64,0.4,2.47,0.61,1.88,0.75,0.76,0.8
Jacob Kilburn,175.3,182.9,65.8,Orthodox,31.2,2.56,0.33,6.78,0.35,0.51,0.05,0.2,0.5
Pannie Kianzad,170.2,167.6,61.2,Orthodox,34.8,5.14,0.49,3.62,0.57,0.22,0.14,0.83,0.2
Jin Oh Kim,175.3,,93.0,Orthodox,,5.06,0.25,8.43,0.5,0.0,0.0,0.66,0.0
Dae Won Kim,180.3,,81.6,Orthodox,,1.75,0.32,2.51,0.36,3.43,0.42,0.0,0.0
Jong Man Kim,170.2,,63.0,Orthodox,48.6,1.33,0.21,3.0,0.6,0.0,0.0,0.0,0.0
Jong Won Kim,170.2,,63.0,Orthodox,,0.84,0.15,3.28,0.63,2.81,1.0,0.0,0.0
Jong Wang Kim,185.4,,108.9,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dong Hyun Kim,188.0,193.0,77.1,Southpaw,44.8,2.12,0.49,1.89,0.58,2.93,0.43,0.71,0.6
Min Soo Kim,185.4,,115.7,Southpaw,51.7,0.87,1.0,3.48,0.2,0.0,0.0,0.0,0.0
Ji Yeon Kim,170.2,182.9,56.7,Orthodox,36.9,4.5,0.34,4.94,0.57,0.0,0.0,0.42,0.0
Jeremy Kimball,182.9,182.9,93.0,Switch,35.7,2.81,0.46,3.84,0.49,1.41,0.2,0.5,0.0
Dustin Kimura,170.2,180.3,61.2,Orthodox,37.3,1.33,0.21,3.82,0.51,0.93,0.37,0.5,2.2
Mike King,190.5,,83.9,,43.1,4.44,0.58,1.29,0.72,1.75,0.25,0.4,3.5
Taiei Kin,180.3,,83.9,Orthodox,56.2,2.71,0.6,1.33,0.52,0.0,0.0,0.55,0.0
Rob Kimmons,177.8,185.4,83.9,Orthodox,45.6,1.86,0.48,4.79,0.38,2.08,0.46,0.25,2.4
Kamuela Kirk,177.8,190.5,65.8,Switch,32.4,5.31,0.57,12.25,0.21,2.89,0.4,1.0,0.0
Kyle Kingsbury,193.0,200.7,93.0,Orthodox,44.5,2.97,0.4,3.81,0.51,2.64,0.41,0.52,0.0
Yurij Kiseliov,172.7,,83.9,Orthodox,,4.88,0.87,0.0,0.0,0.0,0.0,0.5,0.0
Justine Kish,165.1,162.6,56.7,Orthodox,38.4,4.65,0.48,4.62,0.59,1.01,0.35,0.55,0.2
Ludovit Klein,170.2,182.9,70.3,Southpaw,31.6,7.11,0.69,3.16,0.42,0.0,0.0,0.0,0.0
Koji Kitao,200.7,,158.8,Southpaw,62.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Satoru Kitaoka,167.6,,69.9,,46.6,0.68,0.33,2.15,0.45,0.62,0.1,0.27,2.1
Seth Kleinbeck,188.0,,83.9,,53.2,2.55,0.33,2.42,0.4,0.98,0.25,0.9,0.0
Michael Knaap,188.0,,99.8,Orthodox,42.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Stefan Klever,,,83.9,Orthodox,,0.82,0.5,3.84,0.58,0.0,0.0,0.0,0.0
Drakkar Klose,175.3,177.8,70.3,Orthodox,38.5,3.89,0.53,3.64,0.53,1.56,0.3,0.68,0.0
Kevin Knabjian,177.8,,77.1,Orthodox,42.2,0.0,0.0,15.56,0.22,0.0,0.0,1.0,0.0
Isao Kobayashi,172.7,,65.8,,37.9,1.01,0.33,1.66,0.45,2.17,1.0,1.0,0.0
Kelly Kobold,167.6,,61.2,Orthodox,43.6,2.33,0.21,4.11,0.59,1.67,0.11,0.0,0.0
William Knight,177.8,185.4,93.0,Orthodox,38.5,4.69,0.76,2.88,0.33,3.76,0.66,0.63,0.5
Jason Knight,177.8,180.3,65.8,Orthodox,34.2,2.95,0.33,3.02,0.51,1.31,0.31,0.47,1.7
Sokun Koh,185.4,,93.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shingo Kohara,167.6,,61.2,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Erik Koch,177.8,180.3,77.1,Southpaw,38.0,2.33,0.42,2.82,0.47,1.02,0.42,0.81,1.0
Brad Kohler,175.3,,99.8,Orthodox,62.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
John Kolosci,180.3,,83.9,Orthodox,51.8,0.21,0.2,0.85,0.5,0.0,0.0,0.0,0.0
Tsuyoshi Kohsaka,180.3,,102.1,Orthodox,56.6,1.88,0.38,4.41,0.54,1.32,0.2,0.33,0.4
Charlie Kohler,175.3,,70.3,Orthodox,50.2,0.81,0.33,4.31,0.46,0.0,0.0,0.0,4.0
Syuri Kondo,162.6,167.6,52.2,Orthodox,37.6,5.4,0.44,7.22,0.58,0.0,0.0,0.83,0.3
Yuki Kondo,180.3,,83.0,Southpaw,51.2,1.14,0.42,2.57,0.51,0.76,0.41,0.37,0.5
Andrei Kopylov,188.0,,120.2,Orthodox,61.2,0.33,0.66,4.31,0.4,0.0,0.0,0.0,0.0
Cheick Kongo,193.0,208.3,108.9,Orthodox,51.4,3.33,0.56,1.28,0.54,2.3,0.56,0.52,0.2
Roman Kopylov,182.9,190.5,83.9,Southpaw,35.4,2.64,0.38,3.07,0.63,0.0,0.0,0.66,0.0
Andrey Koreshkov,182.9,,77.1,,36.1,2.84,0.39,1.92,0.63,4.8,0.53,0.0,0.0
Matt Kovacs,182.9,,110.7,Orthodox,,1.47,0.22,4.87,0.44,1.0,0.25,0.0,0.0
Ilya Kotau,,,77.1,,,3.94,0.4,4.38,0.44,6.57,1.0,1.0,6.6
Marcus Kowal,,,61.2,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Naoyuki Kotani,172.7,167.6,70.3,Southpaw,44.8,1.02,0.31,2.89,0.5,0.83,0.16,0.46,0.8
Iouri Kotchkine,188.0,,106.6,Orthodox,,0.67,0.38,4.92,0.15,0.0,0.0,0.25,0.0
Josh Koscheck,177.8,185.4,77.1,Orthodox,48.8,1.79,0.36,2.27,0.63,2.46,0.48,0.64,0.4
Karolina Kowalkiewicz,160.0,162.6,52.2,Orthodox,40.9,5.27,0.39,5.65,0.56,0.1,0.12,0.75,0.1
Steve Kozola,,,70.3,,,3.9,0.39,4.36,0.5,2.34,1.0,1.0,0.0
Derrick Krantz,177.8,182.9,77.1,Orthodox,38.7,2.07,0.37,4.03,0.5,3.18,0.5,0.0,0.8
Jorgen Kruth,188.0,,93.0,,52.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
James Krause,188.0,185.4,77.1,Orthodox,40.3,4.79,0.49,4.11,0.61,0.96,0.18,0.59,0.9
Rene Kronvold,172.7,,77.1,Orthodox,,0.82,1.0,2.47,0.6,0.0,0.0,0.66,4.1
Pascal Krauss,185.4,,77.1,Orthodox,39.4,5.45,0.47,3.88,0.59,1.53,0.5,0.6,0.9
Nikita Krylov,190.5,195.6,93.0,Orthodox,34.5,4.33,0.56,2.52,0.43,1.34,0.33,0.55,1.3
Mariusz Ksiazkiewicz,190.5,190.5,83.9,Southpaw,37.0,0.93,0.45,3.4,0.39,4.0,1.0,0.0,2.0
Junya Kudo,,,61.2,Orthodox,,1.85,0.71,4.44,0.33,0.0,0.0,0.0,0.0
Anton Kuivanen,172.7,182.9,70.3,Orthodox,42.4,2.27,0.38,1.63,0.67,1.2,1.0,0.71,0.4
Aleksei Kunchenko,172.7,177.8,77.1,Orthodox,42.4,3.67,0.44,2.83,0.63,0.25,0.33,0.8,0.0
John Kuhner,,,77.1,,43.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Maiju Kujala,,,61.2,,,2.5,0.4,5.5,0.36,0.0,0.0,0.5,0.0
Michael Kuiper,182.9,185.4,83.9,Orthodox,37.3,3.28,0.54,3.62,0.54,2.3,0.55,0.79,0.0
Keigo Kunihara,182.9,,106.6,Orthodox,,0.17,0.1,1.99,0.57,4.97,0.4,1.0,2.5
Kiichi Kunimoto,177.8,180.3,77.1,Orthodox,45.4,1.87,0.44,3.92,0.41,1.59,0.2,0.28,0.3
Leo Kuntz,177.8,,70.3,Orthodox,43.0,1.68,0.32,3.8,0.45,1.99,0.25,0.33,0.7
Yana Kunitskaya,167.6,172.7,61.2,Orthodox,36.9,4.22,0.57,2.62,0.51,1.62,0.53,0.5,0.2
Korey Kuppe,195.6,195.6,77.1,Switch,37.7,0.73,0.73,1.33,0.31,0.0,0.0,0.69,1.0
Tsuyoshi Kurihara,177.8,,83.9,Orthodox,53.2,0.0,0.0,12.0,0.5,0.0,0.0,0.0,0.0
Ramazan Kuramagomedov,185.4,185.4,77.1,Orthodox,30.1,11.67,0.67,9.13,0.54,1.0,0.14,0.0,0.0
Eldari Kurtanidze,167.6,,106.6,Orthodox,54.4,0.47,0.2,3.72,0.6,0.0,0.0,0.0,0.0
Kyle Kurtz,,,77.1,,,1.31,0.36,2.95,0.52,1.23,0.2,0.0,2.5
Guram Kutateladze,180.3,182.9,70.3,Orthodox,34.7,2.47,0.43,3.47,0.58,0.0,0.0,0.68,0.0
Kaleo Kwan,170.2,,70.3,,56.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lina Kvokov,175.3,,61.2,Orthodox,,2.31,0.3,12.12,0.19,0.0,0.0,0.0,0.0
Jarrod Kwitty,172.7,,83.9,,,0.53,0.5,4.4,0.32,8.0,0.5,0.0,2.0
Mike Kyle,193.0,195.6,93.0,Orthodox,46.5,3.93,0.51,3.35,0.49,1.33,0.62,0.5,0.8
Achmed Labasanov,190.5,,97.5,Orthodox,48.4,0.75,0.39,1.1,0.46,3.0,1.0,0.0,0.8
Josh LaBerge,177.8,,65.8,,,2.53,0.36,5.33,0.44,0.0,0.0,0.71,0.0
Jeremiah Labiano,177.8,,61.2,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kemran Lachinov,,,77.1,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ryan LaFlare,185.4,188.0,77.1,Southpaw,43.0,2.89,0.4,1.86,0.63,2.13,0.44,0.58,0.2
Aspen Ladd,167.6,167.6,61.2,Orthodox,31.6,5.22,0.55,4.84,0.46,2.45,0.75,0.66,1.2
Noad Lahat,175.3,175.3,65.8,Orthodox,42.3,2.79,0.46,1.47,0.63,2.37,0.26,0.16,2.4
Ben Lagman,188.0,,83.9,,40.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tim Lajcik,185.4,,102.1,Orthodox,61.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tina Lahdemaki,157.5,,52.2,Orthodox,38.3,1.93,0.2,4.67,0.57,0.0,0.0,0.16,0.0
Todd Lally,170.2,,65.8,Orthodox,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sean Lally,182.9,,77.1,Orthodox,35.9,5.34,0.39,7.23,0.3,0.0,0.0,0.0,0.0
Jason Lambert,190.5,190.5,83.9,Orthodox,51.3,3.21,0.58,1.84,0.5,1.35,0.36,0.28,2.4
Aaron Lanfranco,,,70.3,,40.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Austen Lane,198.1,,111.1,Orthodox,38.9,5.26,0.35,6.32,0.6,0.0,0.0,0.0,0.0
Ricardo Lamas,172.7,180.3,65.8,Orthodox,44.3,3.13,0.47,2.87,0.57,1.84,0.33,0.46,0.9
Jose Landi-Jons,180.3,,77.1,Orthodox,53.0,0.99,0.4,0.77,0.43,2.2,0.8,0.4,2.2
Nate Landwehr,175.3,182.9,65.8,Orthodox,38.3,7.02,0.5,7.67,0.51,0.0,0.0,0.85,0.0
Jeremy Lang,180.3,,93.0,Southpaw,51.4,1.13,0.5,1.41,0.42,4.22,0.6,0.0,4.2
Lionel Lanham,,,93.0,,46.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anthony Lapsley,175.3,,77.1,Southpaw,46.6,0.53,0.34,0.58,0.66,0.0,0.0,0.2,0.0
Chad Laprise,177.8,180.3,77.1,Orthodox,40.2,4.78,0.42,3.59,0.65,1.05,0.54,0.78,0.0
Taylor Lapilus,167.6,185.4,61.2,Southpaw,34.5,3.77,0.45,2.0,0.61,0.58,0.4,0.81,0.6
Icho Larenas,190.5,,106.6,Orthodox,46.5,0.17,0.15,2.5,0.28,0.0,0.0,0.14,0.0
TJ Laramie,167.6,167.6,65.8,Orthodox,28.9,2.73,0.51,3.24,0.26,2.56,0.5,0.0,0.0
Lina Lansberg,170.2,165.1,61.2,Orthodox,44.5,2.76,0.57,3.7,0.44,0.71,0.33,0.5,0.1
Jeremy Larsen,177.8,177.8,65.8,Orthodox,42.3,4.87,0.48,5.75,0.57,2.49,0.33,0.0,0.0
Ryan Larson,,,77.1,,45.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bobby Lashley,190.5,198.1,115.7,Orthodox,50.2,3.1,0.63,0.76,0.63,11.47,0.7,0.0,0.0
Sione Latu,182.9,,97.5,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brock Larson,180.3,180.3,77.1,Southpaw,49.1,1.39,0.46,1.5,0.55,2.67,0.34,0.43,2.0
Ilir Latifi,177.8,185.4,93.0,Orthodox,43.2,2.01,0.4,2.84,0.56,2.02,0.32,1.0,0.4
Jenel Lausa,165.1,172.7,56.7,Orthodox,38.1,1.44,0.42,3.53,0.53,0.55,0.66,0.51,0.8
Joe Lauzon,177.8,180.3,70.3,Orthodox,42.3,2.84,0.39,5.39,0.54,2.39,0.45,0.54,2.0
Chatt Lavender,172.7,,77.1,,50.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dan Lauzon,177.8,,70.3,Orthodox,38.5,1.34,0.25,4.09,0.61,1.63,0.33,0.8,2.7
Muhammed Lawal,182.9,198.1,93.0,Southpaw,45.7,3.79,0.52,1.61,0.66,5.96,0.75,0.87,0.0
Tom Lawlor,182.9,188.0,93.0,Southpaw,43.4,2.5,0.42,2.41,0.6,2.46,0.32,0.57,1.4
Justin Lawrence,172.7,170.2,65.8,Orthodox,36.4,3.84,0.35,2.83,0.67,0.72,0.28,0.73,0.0
Lance Lawrence,185.4,188.0,65.8,Orthodox,33.2,5.87,0.5,9.8,0.24,1.0,1.0,0.5,0.0
Robbie Lawler,180.3,188.0,77.1,Southpaw,44.5,3.5,0.45,4.16,0.6,0.68,0.64,0.64,0.0
Lorenz Larkin,180.3,182.9,77.1,Orthodox,40.1,3.53,0.46,2.74,0.63,0.27,0.42,0.79,0.1
Ronnie Lawrence,172.7,172.7,61.2,Switch,34.3,3.8,0.58,1.09,0.61,10.86,0.76,1.0,0.5
Eric Lawson,182.9,,83.9,Orthodox,,1.58,0.57,1.97,0.44,8.88,0.42,0.0,3.0
Valmir Lazaro,182.9,185.4,70.3,Orthodox,41.1,4.87,0.37,4.09,0.61,1.33,0.4,0.96,0.0
Mounir Lazzez,185.4,193.0,77.1,Orthodox,38.9,5.69,0.55,4.78,0.45,3.41,1.0,0.6,0.0
Cung Le,175.3,177.8,83.9,Southpaw,54.3,4.36,0.48,2.98,0.66,1.37,0.71,0.88,0.3
Thanh Le,175.3,188.0,65.8,Orthodox,41.1,1.97,0.4,1.82,0.7,0.0,0.0,1.0,0.0
Jordan Leavitt,175.3,180.3,70.3,Southpaw,31.3,1.08,0.55,0.43,0.75,6.5,0.66,0.0,3.2
Jerome LeBanner,190.5,,120.2,Southpaw,53.7,0.92,0.35,1.03,0.37,0.0,0.0,0.5,0.0
Mickael Lebout,180.3,185.4,70.3,Orthodox,39.1,2.6,0.34,2.98,0.54,0.0,0.0,0.6,0.0
Stephen Ledbetter,175.3,,65.8,Orthodox,44.2,1.2,0.38,1.6,0.57,5.0,0.45,1.0,0.0
Chris Leben,180.3,185.4,83.9,Southpaw,46.2,2.87,0.42,2.87,0.52,1.14,0.41,0.53,0.8
James Lee,180.3,,93.0,Southpaw,53.0,1.4,0.42,3.72,0.27,13.95,0.5,0.0,7.0
Justin Ledet,193.0,203.2,93.0,Orthodox,38.0,3.35,0.39,4.82,0.49,0.23,0.5,0.42,0.2
David Lee,177.8,,70.3,Orthodox,,1.49,0.5,3.31,0.42,0.0,0.0,0.5,0.0
Eun Soo Lee,185.4,,97.5,Orthodox,44.5,0.0,0.0,3.05,0.6,0.0,0.0,0.5,0.0
Jackie Lee,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tae Hyun Lee,198.1,,133.8,Orthodox,51.7,1.37,0.31,3.89,0.54,5.15,1.0,0.0,0.0
Tommy Lee,170.2,,65.8,Orthodox,49.7,0.0,0.0,0.3,0.75,4.57,0.33,0.0,0.0
Matt Lee,180.3,,70.3,Orthodox,,0.0,0.0,9.68,0.21,0.0,0.0,0.0,0.0
Imani Lee,,,,Orthodox,,0.0,0.0,0.94,0.33,0.0,0.0,0.0,0.0
Vaughan Lee,167.6,167.6,56.7,Orthodox,43.9,3.47,0.47,2.07,0.7,0.81,0.33,0.72,1.0
Rocky Lee,175.3,,65.8,Orthodox,39.5,2.47,0.51,5.33,0.44,1.0,0.1,0.33,0.0
Andrea Lee,167.6,175.3,56.7,Orthodox,37.6,5.58,0.49,3.83,0.65,1.67,0.45,0.57,0.5
Kevin Lee,175.3,195.6,77.1,Orthodox,34.1,3.9,0.42,3.23,0.51,3.21,0.43,0.75,0.8
Ricky Legere Jr.,172.7,,77.1,,,1.07,0.41,1.53,0.6,5.0,0.41,0.0,0.0
Sherron Leggett,172.7,,70.3,Southpaw,47.9,2.86,0.51,2.08,0.47,5.19,0.8,0.33,0.0
Cheyden Leialoha,172.7,185.4,61.2,Orthodox,32.5,1.87,0.28,3.2,0.53,2.0,0.33,0.71,0.0
Stefan Leko,188.0,,97.5,Orthodox,52.3,2.4,0.43,6.17,0.68,0.0,0.0,0.0,0.0
Thales Leites,185.4,198.1,83.9,Orthodox,45.0,2.13,0.4,2.99,0.52,2.1,0.27,0.3,1.1
Giacomo Lemos,190.5,190.5,112.0,Orthodox,37.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Christophe Leninger,182.9,,90.7,Southpaw,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jean Francois Lenogue,182.9,,83.9,Orthodox,53.8,1.13,0.34,0.27,0.6,0.0,0.0,0.33,0.0
Gabe Lemley,172.7,,70.3,Orthodox,,0.82,0.35,6.03,0.45,0.0,0.0,0.0,0.0
Amanda Lemos,162.6,165.1,52.2,Southpaw,39.3,6.21,0.64,5.39,0.45,1.98,1.0,1.0,0.5
Jesse Lennox,175.3,182.9,77.1,Orthodox,44.5,2.69,0.32,3.2,0.64,1.22,0.66,0.63,0.3
Alberta Cerra Leon,172.7,,108.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nik Lentz,172.7,172.7,65.8,Orthodox,42.1,3.44,0.47,3.25,0.5,3.3,0.32,0.43,1.2
Anthony Leone,167.6,,61.2,Orthodox,39.3,1.94,0.53,2.52,0.56,1.72,0.18,0.0,0.0
Chad Leonhardt,182.9,,77.1,,46.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Victoria Leonardo,165.1,162.6,56.7,Orthodox,36.6,3.4,0.37,4.15,0.47,2.39,0.37,0.0,0.0
Michael Lerma,,,,,,0.0,0.0,6.47,0.45,0.0,0.0,0.0,0.0
Kimo Leopoldo,190.5,,106.6,Orthodox,58.7,0.76,0.83,2.12,0.3,4.55,1.0,0.0,2.3
Lukasz Les,,,77.1,,44.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Frank Lester,180.3,,77.1,Orthodox,42.3,2.18,0.36,3.82,0.53,0.0,0.0,0.0,0.0
Brock Lesnar,190.5,205.7,120.2,Orthodox,49.2,3.53,0.72,2.11,0.5,3.9,0.55,0.6,0.5
Justin Levens,180.3,,83.9,Orthodox,46.4,1.24,0.47,3.15,0.37,1.69,0.5,0.33,5.1
Valerie Letourneau,170.2,172.7,52.2,Orthodox,43.4,4.51,0.37,5.4,0.58,0.77,0.45,0.66,0.3
Leah Letson,170.2,180.3,65.8,,34.1,4.87,0.4,3.8,0.63,0.0,0.0,1.0,0.0
Marcus LeVesseur,175.3,177.8,70.3,Southpaw,44.2,2.55,0.64,3.7,0.37,3.89,0.36,0.83,0.6
David Levicki,195.6,,124.7,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kyle Levinton,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Natan Levy,175.3,180.3,70.3,Southpaw,35.0,1.65,0.6,0.82,0.57,2.75,1.0,1.0,2.8
John Lewis,182.9,,70.3,Southpaw,,0.0,0.0,4.0,0.66,0.0,0.0,0.0,0.0
Chi Lewis-Parry,205.7,,110.2,,43.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Derrick Lewis,190.5,200.7,117.9,Orthodox,41.6,2.59,0.5,2.16,0.44,0.52,0.26,0.54,0.0
Bevon Lewis,190.5,200.7,83.9,Orthodox,35.4,3.73,0.43,2.67,0.54,0.0,0.0,0.66,0.0
Li Jingliang,182.9,180.3,77.1,Orthodox,38.5,4.52,0.42,3.65,0.59,1.28,0.39,0.59,0.0
Sam Liera,,,,,,0.82,0.6,7.36,0.51,0.0,0.0,0.66,0.0
Zach Light,172.7,,77.1,Orthodox,52.6,0.81,0.33,1.9,0.48,1.36,1.0,0.0,0.0
Chuck Liddell,188.0,193.0,93.0,Orthodox,56.8,2.97,0.35,2.71,0.56,0.44,0.75,0.81,0.0
Scott Lighty,188.0,,93.0,,47.9,2.91,0.21,4.24,0.49,0.0,0.0,0.0,0.0
Chris Liguori,175.3,,83.9,Orthodox,,0.29,0.33,1.44,0.0,0.0,0.0,0.5,0.0
Jae Suk Lim,175.3,,77.1,Orthodox,46.9,2.43,0.5,4.05,0.37,12.16,1.0,1.0,0.0
Hyun Gyu Lim,190.5,195.6,77.1,Orthodox,41.7,4.45,0.41,5.07,0.51,0.23,1.0,0.73,0.2
Juliana Lima,165.1,165.1,52.2,Orthodox,44.5,1.94,0.44,2.11,0.55,1.72,0.31,0.7,0.0
Douglas Lima,185.4,,77.1,,38.7,1.92,0.36,2.84,0.6,0.6,1.0,0.46,0.0
Dhiego Lima,188.0,190.5,77.1,Orthodox,37.6,3.14,0.38,3.93,0.59,1.38,0.42,0.73,0.7
Mabelly Lima,157.5,,61.2,Orthodox,32.7,3.07,0.63,5.67,0.44,0.0,0.0,1.0,0.0
Jess Liaudin,175.3,182.9,77.1,Orthodox,,2.46,0.51,2.76,0.41,3.28,0.53,0.3,1.6
Miguel Linares,,,,,,6.51,0.5,8.84,0.36,0.0,0.0,0.0,0.0
Jake Lindsey,180.3,,70.3,Switch,40.3,3.44,0.52,4.01,0.46,0.65,0.33,0.5,0.0
Matt Lindland,182.9,188.0,83.9,Southpaw,56.4,2.62,0.5,1.56,0.52,3.01,0.48,0.6,1.3
John Lineker,160.0,170.2,61.2,Orthodox,36.3,5.36,0.4,4.27,0.56,0.56,0.58,0.67,0.6
Philipe Lins,188.0,198.1,108.9,Orthodox,41.1,2.66,0.4,3.68,0.49,0.0,0.0,0.0,0.0
Lucio Linhares,188.0,,83.9,Orthodox,52.8,0.99,0.22,3.47,0.34,1.86,0.5,0.5,1.9
Donnie Liles,175.3,,77.1,Orthodox,,2.25,0.41,1.75,0.65,2.5,0.28,0.0,1.2
Ariane Lipski,167.6,170.2,56.7,Orthodox,32.7,3.03,0.32,4.45,0.48,0.27,0.25,0.45,0.5
Wesley Little,193.0,,93.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Abner Lloveras,180.3,,70.3,,44.1,6.27,0.49,6.87,0.43,2.0,0.2,0.0,0.0
Brian Lo-A-Njoe,170.2,,70.3,Orthodox,,3.87,0.42,0.0,0.0,0.0,0.0,0.66,0.0
Dean Lister,185.4,190.5,83.9,Orthodox,50.6,1.26,0.35,1.89,0.61,1.58,0.15,0.5,1.1
John Lober,180.3,,90.3,Orthodox,58.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Artem Lobov,175.3,165.1,65.8,Southpaw,40.1,3.52,0.41,4.82,0.5,0.39,0.25,0.52,0.0
Dylan Lockard,175.3,182.9,65.8,Orthodox,34.3,1.31,0.53,3.31,0.52,2.31,0.4,0.28,1.2
Sean Loeffler,190.5,,83.9,Orthodox,44.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Michael Lombardo,182.9,182.9,77.1,Orthodox,36.5,1.47,0.62,2.63,0.31,2.5,0.21,0.6,0.0
David Loiseau,182.9,193.0,83.9,Orthodox,46.8,1.59,0.44,3.64,0.43,0.43,0.42,0.36,0.1
Christian Lohsen,188.0,195.6,70.3,Southpaw,31.7,5.27,0.49,6.93,0.44,0.0,0.0,0.0,2.0
Hector Lombard,175.3,180.3,83.9,Southpaw,48.6,3.02,0.46,3.35,0.53,1.69,0.48,0.77,0.5
