fighter,height_cm,reach_cm,weight_kg,stance,age,slpm,str_acc,sapm,str_def,td_avg,td_acc,td_def,sub_avg
Thiago Alves,175.3,177.8,77.1,Orthodox,43.0,3.73,0.41,3.42,0.62,0.71,0.6,0.63,0.3
Rafael Alves,172.7,172.7,65.8,Orthodox,36.0,2.02,0.45,3.66,0.59,0.0,0.0,1.0,1.9
Warlley Alves,180.3,182.9,77.1,Orthodox,35.7,3.09,0.47,3.62,0.5,1.48,0.54,0.75,1.0
Andre Amado,182.9,,69.9,Orthodox,,2.27,0.24,5.91,0.63,0.0,0.0,0.2,0.0
Maiara Amanajas dos Santos,165.1,,52.2,Southpaw,39.2,5.53,0.35,24.47,0.33,0.0,0.0,1.0,0.0
Adlan Amagov,188.0,193.0,77.1,Orthodox,39.9,3.29,0.47,0.82,0.78,5.84,0.56,1.0,0.0
Sam Alvey,188.0,190.5,93.0,Southpaw,40.4,3.17,0.44,3.26,0.55,0.08,0.16,0.82,0.1
Jimmy Ambriz,188.0,,142.9,Southpaw,56.7,0.83,0.29,3.76,0.4,3.13,0.57,1.0,0.8
Chris Amarante,,,83.9,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JJ Ambrose,177.8,,77.1,Orthodox,,3.16,0.69,6.32,0.33,0.0,0.0,0.5,0.0
Alen Amedovski,177.8,188.0,83.9,Orthodox,38.5,0.52,0.28,3.14,0.37,0.0,0.0,0.0,0.0
Makwan Amirkhani,177.8,182.9,65.8,Southpaw,37.9,1.42,0.44,2.63,0.51,3.37,0.37,0.57,1.4
Bertrand Amoussou,172.7,,86.2,Orthodox,,6.75,0.39,2.01,0.83,0.0,0.0,0.0,0.0
Eryk Anders,185.4,190.5,83.9,Southpaw,39.4,3.23,0.46,4.15,0.51,1.62,0.35,0.8,0.1
Andy Anderson,167.6,,108.9,,52.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Karl Amoussou,180.3,,83.9,Orthodox,40.8,1.47,0.34,2.67,0.54,0.0,0.0,0.25,1.0
Matt Andersen,188.0,,104.3,Southpaw,55.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lowell Anderson,167.6,,72.6,Orthodox,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Derek Anderson,182.9,,70.3,,36.6,3.97,0.37,3.08,0.61,0.34,0.14,0.6,0.0
Corey Anderson,190.5,200.7,93.0,Orthodox,37.0,4.43,0.46,2.22,0.59,4.89,0.5,0.83,0.0
Megan Anderson,182.9,182.9,65.8,Orthodox,36.6,1.76,0.46,3.35,0.37,0.52,0.25,0.53,0.5
Viscardi Andrade,180.3,190.5,77.1,Orthodox,42.5,3.26,0.42,2.77,0.63,1.93,0.5,0.66,0.3
Alex Andrade,180.3,,90.7,Orthodox,52.4,0.2,0.36,2.6,0.53,0.0,0.0,0.25,0.8
Jermaine Andre,170.2,,90.7,Orthodox,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jessica Andrade,154.9,157.5,52.2,Orthodox,35.0,6.38,0.49,5.26,0.53,3.11,0.57,0.76,0.4
Reese Andy,182.9,,93.0,Orthodox,53.5,2.87,0.5,3.5,0.58,0.67,0.2,0.4,0.0
Dylan Andrews,185.4,188.0,83.9,Switch,46.9,2.21,0.5,2.72,0.46,2.83,0.5,0.57,0.4
Julius Anglickas,190.5,,93.0,Orthodox,35.2,4.62,0.78,1.86,0.5,4.47,0.5,0.6,1.1
Collin Anglin,175.3,180.3,65.8,Orthodox,33.6,5.87,0.55,3.47,0.58,3.0,0.75,1.0,0.0
Magomed Ankalaev,190.5,190.5,93.0,Orthodox,34.3,3.41,0.53,1.78,0.65,1.18,0.33,0.85,0.0
Yoji Anjo,180.3,,93.0,Orthodox,59.5,0.0,0.0,3.13,0.25,0.0,0.0,0.0,0.0
Nina Ansaroff,165.1,162.6,52.2,Orthodox,40.8,4.81,0.47,3.55,0.54,0.29,0.4,0.77,0.6
Angelo Antonio,,,93.0,Orthodox,,1.09,0.5,7.64,0.5,0.0,0.0,0.0,0.0
Adam Antolin,165.1,160.0,56.7,Orthodox,44.6,5.73,0.52,5.0,0.69,0.0,0.0,1.0,0.0
Gadzhimurad Antigulov,180.3,177.8,93.0,Orthodox,39.6,2.08,0.55,4.21,0.4,5.08,0.36,0.0,1.4
Azunna Anyanwu,185.4,,113.9,Orthodox,45.1,2.47,0.42,2.47,0.69,0.65,1.0,0.0,0.0
Shinsho Anzai,170.2,177.8,77.1,Orthodox,40.8,3.23,0.58,3.75,0.45,1.83,0.16,0.75,0.0
Josh Appelt,177.8,,115.7,Southpaw,43.3,1.35,0.4,11.5,0.32,0.0,0.0,0.33,0.0
Aori Qileng,170.2,,56.7,,33.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kenji Arai,177.8,,65.8,Southpaw,47.0,8.79,0.27,10.29,0.39,0.0,0.0,0.0,0.0
Erik Apple,182.9,,77.1,Orthodox,49.1,0.0,0.0,0.54,0.81,0.0,0.0,0.0,8.1
Romie Aram,177.8,,77.1,Orthodox,48.8,1.8,0.35,2.83,0.5,2.5,0.62,0.83,0.0
Shinya Aoki,180.3,,69.9,Southpaw,43.4,0.97,0.58,1.25,0.58,2.54,0.41,0.6,4.0
Igor Araujo,185.4,195.6,77.1,Orthodox,45.8,1.52,0.42,2.86,0.49,0.86,0.15,0.22,0.6
Felipe Arantes,172.7,185.4,61.2,Orthodox,38.6,2.37,0.45,2.66,0.64,0.93,0.47,0.41,0.7
